id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,eigencentrality,pageranks,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,nodesize
3532,Henderson,,0,0,0,15,17,32,2,0.833333,0.9,8.659524,0,0,0,0.879315,0.104912,0.096217,0.091293,0.008784,0.652778, 400
3502,Matip,,0,0,0,10,16,26,2,0.833333,0.9,1.942857,0,0,1,0.448983,0.042513,0.021587,0.113242,0.002445,0.680556, 400
3247,Fabinho,,0,0,0,7,12,19,2,0.833333,0.9,2.659524,0,0,0,0.488493,0.039736,0.02955,0.110958,0.003279,0.652778, 400
3669,Van Dijk,,0,0,0,18,19,37,2,0.833333,0.9,2.452381,0,0,1,0.48967,0.063257,0.027249,0.127704,0.00348,0.660714, 400
3567,Wijnaldum,,0,0,0,10,8,18,2,0.714286,0.8,2.209524,0,0,2,0.59009,0.074752,0.02455,0.186148,0.00457,0.738095, 400
3629,Mané,,0,0,0,26,11,37,2,0.666667,0.75,2.885714,0,0,2,1,0.15476,0.032063,0.085421,0.002739,0.644444, 400
3655,Robertson,,0,0,0,17,26,43,2,0.833333,0.9,7.592857,0,0,2,0.794648,0.116859,0.084365,0.087635,0.007393,0.597222, 400
3664,Alexander-Arnold,,0,0,0,10,25,35,2,0.833333,0.9,4.52619,0,0,0,0.593714,0.077428,0.050291,0.100155,0.005037,0.597222, 400
3531,Salah,,0,0,0,25,10,35,2,0.666667,0.75,2.492857,0,0,2,0.940275,0.160289,0.027698,0.105713,0.002928,0.680556, 400
5547,Alisson,,0,0,0,9,15,24,2,0.666667,0.75,1.042857,0,0,1,0.438357,0.040314,0.011587,0.231823,0.002686,0.666667, 400
3535,Firmino,,0,0,0,18,6,24,2,0.625,0.7,0.535714,0,0,0,0.795239,0.12518,0.005952,0.186148,0.001108,0.738095, 400
