label,id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,eigencentrality,pageranks,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,clustering,nodesize,x,y
Henderson,3532,Henderson,,0,0,0,618.421052631579,792.5000000000001,806.0000000000001,2,1400.0,0.9,1400.0,0,0,0,1109.9140379208854,779.8665317329309,0.096217,104.14680127320668,1400.0,582.3986853406967,400,72,25
Matip,3502,Matip,,0,0,0,263.1578947368421,725.0,482.0,2,1400.0,0.9,283.83646958754576,0,0,1,75.54131361024713,81.0979403250023,0.021587,306.5426018770235,285.1420010422095,848.5980280110462,400,90,30
Fabinho,3247,Fabinho,,0,0,0,50.0,455.0,104.0,2,1400.0,0.9,402.93089080123747,0,0,0,170.5100036856153,50.0,0.02955,285.48141418833075,431.81995831162055,582.3986853406967,400,75,40
Van Dijk,3669,Van Dijk,,0,0,0,831.578947368421,927.5,1076.0,2,1400.0,0.9,368.5082430534442,0,0,1,173.33911399234034,313.39742685789645,0.027249,439.8993866204015,467.17040125065137,658.4501643324132,400,90,50
Wijnaldum,3567,Wijnaldum,,0,0,0,263.1578947368421,185.0,50.0,2,628.574205718729,0.8,328.1507076113302,0,0,2,414.71486335626014,442.1229666619661,0.02455,978.8223521536592,658.8718082334549,1400.0,400,72,55
Mané,3629,Mané,,0,0,0,1400.0,387.5,1076.0,2,320.0025920041473,0.75,440.51873443618206,0,0,2,1400.0,1338.084079201679,0.032063,50.0,336.84861907243356,502.5331326797898,400,45,60
Robertson,3655,Robertson,,0,0,0,760.5263157894736,1400.0,1400.0,2,1400.0,0.9,1222.7432140830474,0,0,2,906.4031778193621,913.6537456554379,0.084365,70.41570470348773,1155.360865033872,50.0,400,82,70
Alexander-Arnold,3664,Alexander-Arnold,,0,0,0,263.1578947368421,1332.5,968.0000000000001,2,1400.0,0.9,713.1300584331736,0,0,0,423.4257348529225,472.08986918616705,0.050291,185.86494720017484,741.0044293903075,50.0,400,82,10
Salah,3531,Salah,,0,0,0,1328.9473684210525,320.0,968.0000000000001,2,320.0025920041473,0.75,375.234471264099,0,0,2,1256.4412803150756,1400.0,0.027698,237.11629622546144,370.088587806149,848.5980280110462,400,45,20
Alisson,5547,Alisson,,0,0,0,192.10526315789474,657.5,374.0,2,320.0025920041473,0.75,134.27610320773135,0,0,1,50.0,56.47267177092236,0.011587,1400.0,327.52735799895777,715.4983566758714,400,112,40
Firmino,3535,Firmino,,0,0,0,831.578947368421,50.0,374.0,2,50.0,0.7,50.0,0,0,0,907.8237421280068,1006.8355826897715,0.005952,978.8223521536592,50.0,1400.0,400,55,40
