Source,Target,Weight
3077,20005,18
20005,3077,15
3308,3043,8
20005,3308,8
3099,20005,8
3082,3094,8
3308,10955,7
3594,3077,6
3077,3594,6
3094,3083,6
3594,3083,6
3077,3099,6
3308,3082,6
3082,3308,6
20005,3099,6
3099,3077,6
3094,3043,6
3082,3091,5
3308,3091,5
3077,3082,5
3043,10955,5
3091,3099,4
3594,3082,4
3082,20005,4
3043,3083,4
3082,3594,4
3594,3094,4
20005,3594,4
3091,20005,3
3091,3077,3
3091,3094,3
3308,3099,3
3091,3082,3
3094,3082,3
3091,3043,3
20005,3082,3
3083,3094,3
3083,3077,3
3043,3094,3
20005,3094,3
3308,20005,3
3099,10955,2
20005,3091,2
3308,3077,2
10955,3043,2
10955,3094,2
3594,10955,2
3594,3099,2
3099,3091,2
3308,3094,2
3099,3308,2
3043,3082,2
3099,3083,2
3077,3083,2
3082,10955,2
3077,3091,2
3091,3083,2
3091,3308,2
3099,3043,2
3043,3091,2
3082,3077,2
3043,20005,1
3043,3594,1
20005,3083,1
3082,3083,1
3043,3308,1
3077,3094,1
3077,3308,1
10955,3082,1
3082,3043,1
3594,3091,1
3082,3099,1
3099,3082,1
3083,3043,1
3083,3091,1
3083,10955,1
3083,20005,1
3091,3594,1
3094,3091,1
3094,3308,1
3094,3594,1
3094,10955,1
3099,3594,1
20005,10955,1
