id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,pageranks,clustering,eigencentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,positions,pao,ole,triangles
3308,Trippier,,7,8,15,21,36,57,2,0.833333,0.9,1.705159,0,0,0,0.067848,0.75,0.782011,0.018946,0.127203,0.00241,defender,,,24
3091,Sissoko,,9,9,18,21,24,45,2,0.909091,0.95,3.189683,0,0,0,0.073182,0.763889,0.975603,0.035441,0.094618,0.003353,mid,,,32
20005,Alderweireld,,7,9,16,38,43,81,2,0.909091,0.95,1.931349,0,0,1,0.107326,0.755556,0.76874,0.021459,0.093128,0.001998,defender,,,39
10955,Kane,,8,3,11,21,5,26,2,0.588235,0.65,0.587302,0,0,0,0.079081,0.75,0.87485,0.006526,0.174661,0.00114,forward,,,25
3043,Eriksen,,7,8,15,23,19,42,2,0.833333,0.9,3.121825,0,0,2,0.110566,0.75,0.807888,0.034687,0.111058,0.003852,mid,,,32
3077,Vertonghen,,7,8,15,37,41,78,2,0.833333,0.9,1.696825,0,0,1,0.111339,0.803571,0.765855,0.018854,0.130879,0.002468,defender,,,25
3082,Winks,,9,10,19,28,34,62,1,1,1,6.390873,0,0,0,0.099875,0.722222,0.974468,0.07101,0.077287,0.005488,mid,,,39
3094,Alli,,9,7,16,29,19,48,2,0.769231,0.85,3.129762,0,0,2,0.128544,0.736111,1,0.034775,0.103399,0.003596,forward,,,31
3594,Rose,,7,7,14,18,25,43,2,0.769231,0.85,1.195635,0,0,2,0.06128,0.763889,0.782011,0.013285,0.119942,0.001593,defender,,,32
3099,Lloris,,6,9,15,22,26,48,2,0.909091,0.95,1.429762,0,0,1,0.062053,0.736111,0.663121,0.015886,0.110292,0.001752,keeper,,,31
3083,Son,,8,6,14,24,10,34,2,0.714286,0.8,1.621825,0,0,2,0.098905,0.763889,0.884745,0.01802,0.119942,0.002161,forward,,,32
